DateTime|SurfTermo|TermoSBE|ConductSBE|ScSBE|Lat|Lon|Speed|Cours
10.08.2021  14:32:03|-100.0|12.3082|7.41514|115.513531|51.650101|104.979485|8.06|146.6
10.08.2021  14:32:11|-100.0|12.4406|7.41534|115.429099|51.649845|104.979744|8.04|148.0
10.08.2021  14:32:19|-100.0|12.5135|7.41548|115.43112|51.649593|104.979996|7.9|148.7
10.08.2021  14:32:24|-100.0|12.5371|7.41549|115.375403|51.649437|104.980164|7.95|147.3
10.08.2021  14:32:32|-100.0|12.6515|7.41576|115.459325|51.649181|104.980431|8.0|146.7
10.08.2021  14:32:37|-100.0|12.7307|7.41596|115.538576|51.649033|104.980583|8.05|146.8
10.08.2021  14:32:45|-100.0|12.8709|7.41618|115.466223|51.648777|104.980835|8.13|148.2
10.08.2021  14:32:50|-100.0|12.936|7.41624|115.366433|51.648621|104.980995|8.08|148.6
10.08.2021  14:32:58|-100.0|13.0354|7.41641|115.338885|51.648369|104.981247|7.99|147.4
10.08.2021  14:33:00|-100.0|13.0967|7.41642|115.172611|51.648312|104.9813|7.94|148.1
10.08.2021  14:33:11|-100.0|13.0812|7.41642|115.218747|51.647953|104.981667|8.12|147.7
10.08.2021  14:33:13|-100.0|13.1014|7.41644|115.190281|51.6479|104.98172|8.13|147.9
10.08.2021  14:33:24|-100.0|13.1891|7.41655|115.104475|51.647552|104.982079|7.83|147.4
10.08.2021  14:33:29|-100.0|13.2209|7.41653|114.979217|51.6474|104.982239|7.9|147.3
10.08.2021  14:33:35|-100.0|13.2275|7.41657|115.022724|51.647224|104.982414|7.9|148.2
10.08.2021  14:33:42|-100.0|13.2458|7.41655|114.937467|51.646999|104.982651|7.93|147.1
10.08.2021  14:33:50|-100.0|13.2998|7.41664|114.920582|51.646748|104.982903|8.02|148.3
10.08.2021  14:33:53|-100.0|13.2984|7.4166|114.861769|51.646664|104.982994|7.99|147.4
10.08.2021  14:34:03|-100.0|13.2799|7.4166|114.915897|51.646343|104.983315|8.02|147.8
10.08.2021  14:34:08|-100.0|13.2916|7.41662|114.913173|51.646187|104.983482|7.97|147.2
10.08.2021  14:34:16|-100.0|13.2753|7.41658|114.89809|51.645939|104.983734|8.03|147.9
10.08.2021  14:34:21|-100.0|13.284|7.41658|114.87258|51.645779|104.983894|8.07|147.1
10.08.2021  14:34:29|-100.0|13.2826|7.41658|114.876705|51.645531|104.984161|8.02|146.8
10.08.2021  14:34:34|-100.0|13.29|7.41657|114.839315|51.645374|104.984322|8.01|146.6
10.08.2021  14:34:42|-100.0|13.3128|7.41662|114.851043|51.64513|104.984589|8.05|146.3
10.08.2021  14:34:47|-100.0|13.3311|7.41662|114.797446|51.644974|104.984756|7.96|146.1
10.08.2021  14:34:55|-100.0|13.3768|7.41666|114.726806|51.644726|104.985016|8.08|146.9
10.08.2021  14:35:00|-100.0|13.388|7.41663|114.647254|51.644569|104.985184|7.98|146.3
10.08.2021  14:35:08|-100.0|13.405|7.41667|114.660458|51.644325|104.985458|7.99|146.4
10.08.2021  14:35:13|-100.0|13.4171|7.41661|114.53145|51.644176|104.985619|7.93|145.7
10.08.2021  14:35:21|-100.0|13.4423|7.41661|114.458248|51.643921|104.985886|8.21|146.6
10.08.2021  14:35:26|-100.0|13.4639|7.41663|114.427006|51.643764|104.986046|8.22|147.7
10.08.2021  14:35:34|-100.0|13.4732|7.41664|114.415639|51.643513|104.986298|7.96|148.7
10.08.2021  14:35:39|-100.0|13.4943|7.41666|114.385906|51.643356|104.986443|7.92|149.6
10.08.2021  14:35:47|-100.0|13.5172|7.41668|114.351008|51.643108|104.986687|7.97|148.1
10.08.2021  14:35:52|-100.0|13.5468|7.4167|114.296903|51.642948|104.986839|7.92|148.9
10.08.2021  14:36:00|-100.0|13.5742|7.41675|114.295911|51.642696|104.987076|7.95|148.7
10.08.2021  14:36:05|-100.0|13.5972|7.41676|114.245457|51.642536|104.987228|7.83|148.9
10.08.2021  14:36:13|-100.0|13.7014|7.41682|114.040491|51.642288|104.987465|7.91|149.6
10.08.2021  14:36:18|-100.0|13.745|7.41682|113.916363|51.642124|104.987617|8.04|149.9
10.08.2021  14:36:26|-100.0|13.8132|7.41692|113.877684|51.641865|104.987854|7.99|151.0
10.08.2021  14:36:31|-100.0|13.8732|7.41702|113.862627|51.641701|104.987999|8.08|151.6
10.08.2021  14:36:39|-100.0|13.8998|7.41703|113.803009|51.641441|104.988235|7.98|150.3
10.08.2021  14:36:44|-100.0|13.9013|7.41698|113.72142|51.641285|104.98838|8.1|149.5
10.08.2021  14:36:52|-100.0|13.92|7.41706|113.792316|51.641026|104.988625|8.05|149.1
10.08.2021  14:36:57|-100.0|13.9224|7.41702|113.72383|51.640873|104.988777|7.99|149.4
10.08.2021  14:37:05|-100.0|13.9347|7.41702|113.689214|51.640614|104.989021|8.03|149.7
10.08.2021  14:37:10|-100.0|13.9342|7.417|113.659662|51.640453|104.989166|8.09|149.4
10.08.2021  14:37:18|-100.0|13.9359|7.41701|113.670322|51.640198|104.989418|8.08|148.7
10.08.2021  14:37:23|-100.0|13.9416|7.417|113.63887|51.640034|104.989563|8.1|150.6
10.08.2021  14:37:31|-100.0|13.9573|7.41703|113.641033|51.639774|104.989799|8.06|151.7
10.08.2021  14:37:36|-100.0|13.9593|7.41701|113.60454|51.639606|104.98996|8.04|149.9
10.08.2021  14:37:44|-100.0|13.9412|7.41696|113.578227|51.639355|104.990173|7.92|152.2
10.08.2021  14:37:49|-100.0|13.9363|7.41694|113.561187|51.639187|104.990311|7.98|152.4
10.08.2021  14:37:57|-100.0|13.9703|7.41701|113.573719|51.638924|104.99054|7.99|152.0
10.08.2021  14:38:02|-100.0|13.9662|7.41695|113.49266|51.63876|104.990677|8.12|152.4
